"id","标题","目录","年鉴页码","编号","CAJ","PDF","EXCEL","年鉴年份"
"2","一、农村基本情况","一、农村基本情况","1-13","N2005120871000001","yearbooks/N2005120871000001.caj","yearbooks/N2005120871000001.pdf",,"1987"
"3","全国农村基层组织情况","一、农村基本情况","3","N2005120871000002","yearbooks/N2005120871000002.caj","yearbooks/N2005120871000002.pdf","yearbooks/N2005120871000002.xls","1987"
"4","农业事业机构","一、农村基本情况","3","N2005120871000003","yearbooks/N2005120871000003.caj","yearbooks/N2005120871000003.pdf","yearbooks/N2005120871000003.xls","1987"
"5","各地区农村基层组织情况","一、农村基本情况","4-5","N2005120871000004","yearbooks/N2005120871000004.caj","yearbooks/N2005120871000004.pdf","yearbooks/N2005120871000004.xls","1987"
"6","主要部门的国营农林牧渔场发展情况","一、农村基本情况","6","N2005120871000005","yearbooks/N2005120871000005.caj","yearbooks/N2005120871000005.pdf","yearbooks/N2005120871000005.xls","1987"
"7","各地区农垦系统农场数、职工人数","一、农村基本情况","7","N2005120871000006","yearbooks/N2005120871000006.caj","yearbooks/N2005120871000006.pdf","yearbooks/N2005120871000006.xls","1987"
"8","农村经济联合体发展情况","一、农村基本情况","8","N2005120871000007","yearbooks/N2005120871000007.caj","yearbooks/N2005120871000007.pdf","yearbooks/N2005120871000007.xls","1987"
"9","各地区农村经济联合体发展情况","一、农村基本情况","9","N2005120871000008","yearbooks/N2005120871000008.caj","yearbooks/N2005120871000008.pdf","yearbooks/N2005120871000008.xls","1987"
"10","乡村两级企业发展情况","一、农村基本情况","10","N2005120871000009","yearbooks/N2005120871000009.caj","yearbooks/N2005120871000009.pdf","yearbooks/N2005120871000009.xls","1987"
"11","各地区乡村两级企业发展情况","一、农村基本情况","11","N2005120871000010","yearbooks/N2005120871000010.caj","yearbooks/N2005120871000010.pdf","yearbooks/N2005120871000010.xls","1987"
"12","农村个体工商业登记户数、人数","一、农村基本情况","12","N2005120871000011","yearbooks/N2005120871000011.caj","yearbooks/N2005120871000011.pdf","yearbooks/N2005120871000011.xls","1987"
"13","农村经济在国民经济各领域中所占比重","一、农村基本情况","13","N2005120871000012","yearbooks/N2005120871000012.caj","yearbooks/N2005120871000012.pdf","yearbooks/N2005120871000012.xls","1987"
"14","二、农村社会总产值","二、农村社会总产值","15-40","N2005120871000013","yearbooks/N2005120871000013.caj","yearbooks/N2005120871000013.pdf",,"1987"
"15","现价农村社会总产值及构成","二、农村社会总产值","17-18","N2005120871000014","yearbooks/N2005120871000014.caj","yearbooks/N2005120871000014.pdf","yearbooks/N2005120871000014.xls","1987"
